"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1239",54.470001,54.611427,54.042858,54.599998,101484600,47.831184
"1240",54.648571,55.57143,54.392857,55.418571,96795300,48.548275
"1241",55.689999,56.232857,55.511429,55.671429,94763900,48.769787
"1242",56.212856,56.630001,55.77,56.144287,89302500,49.184029
"1243",56.072857,56.375713,55.625713,55.849998,70899500,48.926224
"1244",55.704285,55.848572,55.251427,55.584286,76186600,48.693443
"1245",55.921429,56.5,55.747143,55.808571,94089100,48.889927
"1246",56.121429,56.291428,55.861427,56.23143,74248300,49.260361
"1247",55.954285,56.271427,55.635715,55.977142,75266800,49.037609
"1248",56.142857,56.485714,55.299999,55.544285,84732200,48.658405
"1249",55.242859,55.34,53.954285,54.312859,101721900,47.579643
"1250",54.761429,54.82,54.044285,54.134285,64050000,47.423199
"1251",54.337143,54.878571,54.224285,54.431427,105369600,47.683514
"1252",54.638573,54.978573,54.354286,54.601429,58882600,47.832436
"1253",55.394287,56.585712,55.322857,56.564285,84303800,49.55196
"1254",56.669998,56.757141,56.001427,56.635715,65737000,49.614529
"1255",56.714287,57.01857,56.585712,56.935715,50589700,49.877338
"1256",57.098572,57.655716,57.07,57.618572,67349800,50.475544
"1257",57.585712,58.441429,57.574287,58.075714,66269000,50.876015
"1258",58.127144,58.32143,57.334286,57.52,57165500,50.389194
"1259",57.628571,57.950001,57.215714,57.874287,53994500,50.699566
"1260",57.644287,58.040001,57.64143,57.857143,44915500,50.68454
"1261",58.485714,58.92857,58.42857,58.747143,75555200,51.464207
"1262",58.57143,59.240002,58.468571,59.062859,65005500,51.740776
"1263",59.278572,59.792858,58.952858,59.718571,67817400,52.315197
"1264",59.967144,60.392857,59.888573,60.342857,79573200,52.862103
"1265",60.785713,61.107143,60.192856,60.247143,98506100,52.778248
"1266",60.844284,60.857143,60.214287,60.462856,64549100,52.967213
"1267",60.382858,60.407143,59.901428,60.364285,53771200,52.880863
"1268",60.325714,60.414288,59.82143,60.19857,53146800,52.735695
"1269",59.957142,60.064285,59.808571,59.972858,56505400,52.537975
"1270",60.599998,60.855713,60.422855,60.671429,60724300,53.149933
"1271",60.994286,61.352856,60.900002,61.30143,69197800,53.701828
"1272",61.450001,61.624287,60.93,61.107143,65434600,53.531635
"1273",61.07,61.07143,59.964287,60.042858,103493600,52.599285
"1274",60.381428,61.207142,60.328571,61.058571,76515600,53.489075
"1275",60.728573,60.728573,59.935715,60.058571,136909500,52.613056
"1276",64.919998,64.921425,63.389999,63.808571,239578500,55.898159
"1277",64.05143,64.112854,63.305714,63.51857,80996300,55.644108
"1278",63.477142,64.068573,63.395714,63.897144,74927300,55.975765
"1279",63.672855,64.842857,63.627144,64.715714,94835300,56.69286
"1280",65.084282,65.46286,64.724289,65.211426,97920900,57.127102
"1281",65.487144,65.57,65.078575,65.169998,67511500,57.090816
"1282",65.128571,65.309998,64.854286,65.017143,46699100,56.956921
"1283",65.328575,65.714287,65.080002,65.668571,71649900,57.52758
"1284",65.482857,66.425713,65.457146,66.281425,62353200,58.064457
"1285",66.464287,67.10714,66.368568,66.975716,79055900,58.67268
"1286",67.214287,68.112854,67.099998,68.097145,101972500,59.655083
"1287",68.68,70.964287,68.651428,70.452858,221053700,61.718746
"1288",70.137146,71.08857,69.792854,70.488571,157825500,61.75005
"1289",71.361427,71.975716,71.012856,71.800003,129304000,62.89888
"1290",72.094284,72.794289,71.714287,72.779999,115099600,63.757397
"1291",73.465714,75.184288,70.984283,71.095711,376530000,62.281906
"1292",70.214287,72.127144,69.51857,71.744286,236138000,62.850063
"1293",71.872856,72.538574,71.471428,71.73143,133951300,62.838806
"1294",72.41143,73.550003,72.017143,73.550003,151398800,64.431946
"1295",73.297142,73.641426,72.724289,73.291428,120825600,64.205444
"1296",73.582855,73.975716,72.785713,73.769997,142006900,64.624649
"1297",74.238571,74.699997,74.091431,74.629997,103768000,65.378052
"1298",74.472855,75.5,73.754288,75.108574,136895500,65.797287
"1299",75.422859,76.487144,75.121429,76.487144,150096800,67.004959
"1300",77.365715,78.230003,76.528572,77.491432,238002800,67.88475
"1301",78.309998,78.315712,76.96714,77.781425,170817500,68.138809
"1302",77.748573,78.114288,77.502853,77.882858,107928100,68.227631
"1303",77.917145,78.211426,75.14286,76.165718,202281100,66.723389
"1304",74.808571,76.241432,73.745712,75.751427,202559700,66.360443
"1305",76.685715,76.825714,74.757141,75.812859,199630200,66.414261
